,Unnamed: 0,Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
32,32,SD,Garrett Cooper,-58.15,0.7843137254902077,12.038834951456312,-3.3480176211453774,6.434782608695648,-32.0,0.933,0.96,-66.5,-65.5
33,33,SD,Gary Sanchez,-32.230000000000004,-3.1372549019607767,15.922330097087382,-2.290748898678416,-14.086956521739133,7.0,0.933,0.96,-27.7,-26.7
34,34,SD,Ha-seong Kim,-44.92,-1.568627450980383,8.932038834951454,10.39647577092511,-1.0434782608695758,-25.0,0.696,0.96,-35.5,-34.5
35,35,SD,J. Cronenworth,-52.66,7.843137254901968,23.689320388349504,17.268722466960355,-2.086956521739142,-5.0,0.696,0.96,-10.5,-9.5
36,36,SD,J. Profar,-53.2,-0.784313725490186,9.320388349514564,12.863436123348018,-1.73913043478262,-43.0,1.115,0.96,-81.9,-80.9
37,37,SD,Ji-Man Choi,-36.03,-3.1372549019607767,9.320388349514564,-8.810572687224669,0.5217391304347734,-5.0,0.495,0.96,-20.5,-19.5
38,38,SD,Jose Azocar,-33.51,1.088453945710938e-14,36.11650485436893,3.171806167400884,-8.869565217391303,-27.0,0.915,0.96,-26.4,-25.4
39,39,SD,Luis Campusano,-23.93,3.921568627450995,30.67961165048544,13.568281938325994,-1.565217391304359,12.0,1.122,0.96,37.3,38.3
40,40,TEX,R. Grossman,6.32,5.490196078431378,-26.40776699029128,-3.171806167400874,9.217391304347824,38.0,1.331,0.96,37.6,38.6
41,41,SD,Manny Machado,-3.019999999999998,0.7843137254902077,22.135922330097088,10.572687224669604,-8.869565217391303,40.0,1.163,0.96,68.8,69.8
42,42,SD,Matt Carpenter,-41.54,-5.490196078431367,1.5533980582524287,-3.5242290748898712,-6.956521739130441,-33.0,3.014,0.96,-257.4,-256.4
43,43,SD,Matthew Batten,-33.6,-1.568627450980383,28.34951456310679,1.938325991189429,-1.3913043478260978,-15.0,0.922,0.96,-18.8,-17.8
